name,total_shipped,genres,themes,game_engines,age_ratings
portal 2,2.08,"['shooter', 'platform', 'puzzle', 'adventure']","['action', 'science fiction', 'comedy']",source,e10
the sims 2: pets,2.07,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims 2 engine,e
rise of the tomb raider,2.07,"['shooter', 'adventure']","['action', 'survival', 'stealth', 'open world']",foundation engine,m
call of duty 2,2.06,['shooter'],"['action', 'historical', 'warfare']",iw engine,t
hitman: absolution,2.06,"['shooter', 'tactical', 'adventure']","['action', 'stealth']",glacier 2,m
tom clancy's splinter cell: conviction,2.06,"['shooter', 'tactical']","['action', 'stealth']",lead engine,m
need for speed: undercover,2.06,"['racing', 'arcade']","['action', 'open world']",eagl,t
middle-earth: shadow of war,2.04,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'open world']",firebird engine,m
peter jackson's king kong: the official game of the movie,2.04,"['fighting', 'shooter', 'puzzle', 'adventure']",['action'],jade,t
dragon quest xi: echoes of an elusive age,2.04,['role-playing (rpg)'],"['fantasy', 'open world']",unreal engine,t
rocket league,2.02,"['racing', 'sport', 'indie']","['action', 'science fiction']",unreal engine,e
need for speed: the run,2.01,['racing'],['action'],frostbite 2,t
dead space,2.0,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'science fiction', 'horror', 'survival']",frostbite 3,m
simcity,1.98,"['simulator', 'strategy']","['business', 'sandbox']",glassbox,e10
bioshock infinite,1.97,"['shooter', 'adventure']","['action', 'fantasy', 'science fiction', 'horror', 'historical', 'drama']",unreal engine,m
dishonored 2,1.97,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'stealth']",void engine,m
tom clancy's rainbow six: vegas,1.95,"['shooter', 'tactical']","['action', 'stealth', 'warfare']",unreal engine,m
star wars: dark forces,1.95,['shooter'],"['action', 'science fiction']",jedi,t
burnout paradise,1.95,['racing'],"['action', 'sandbox', 'open world']",renderware,e10
tom clancy's ghost recon,1.94,"['shooter', 'simulator', 'strategy', 'tactical', 'adventure']","['action', 'warfare']",ubisoft anvil,m
